the_geom,MeterType,MeterNo,LONG,LAT,Status
POINT (-73.87232831969382 40.75127913864835),Strada,4123006,-73.8723283197,40.7512791386,Active
POINT (-73.88162468099249 40.750314463520546),Strada,4123023,-73.881624681,40.7503144635,Active
POINT (-73.88202558502996 40.750040664218716),Strada,4123024,-73.882025585,40.7500406642,Active
POINT (-73.98537952540408 40.610175287313595),Strada,3133008,-73.9853795254,40.6101752873,Active
POINT (-73.98075615759075 40.614622059713156),Strada,3133001,-73.9807561576,40.6146220597,Active
POINT (-73.96326149686648 40.625333794026815),Strada,3153070,-73.9632614969,40.625333794,Active
POINT (-73.99643229258703 40.717356205579925),Strada,1243143,-73.9964322926,40.7173562056,Active
POINT (-73.88243800583156 40.750158754209195),Strada,4123025,-73.8824380058,40.7501587542,Active
POINT (-73.79250658160768 40.72566995676698),Strada,4433023,-73.7925065816,40.7256699568,Active
POINT (-73.789894997101 40.726239897672755),Strada,4433028,-73.7898949971,40.7262398977,Active
POINT (-73.88615267303479 40.749741798615894),Strada,4123034,-73.886152673,40.7497417986,Active
POINT (-73.88747908868709 40.749359251987094),Strada,4123040,-73.8874790887,40.749359252,Active
POINT (-73.95048422801979 40.77942938064557),Strada,1264934,-73.950484228,40.7794293806,Active
POINT (-73.95663038104227 40.78369060835211),Strada,1273018,-73.956630381,40.7836906084,Active
POINT (-73.95585171593875 40.78506540005499),Strada,1273029,-73.9558517159,40.7850654001,Active
POINT (-73.95234415686416 40.788937722943736),Strada,1273043,-73.9523441569,40.7889377229,Active
POINT (-73.95392386293152 40.781627436986604),Strada,1273061,-73.9539238629,40.781627437,Active
POINT (-73.88572299399516 40.74954683484092),Strada,4123042,-73.885722994,40.7495468348,Active
POINT (-73.88465333421364 40.7496488883689),Strada,4123043,-73.8846533342,40.7496488884,Active
POINT (-73.88275528547702 40.7498546081557),Strada,4123045,-73.8827552855,40.7498546082,Active
POINT (-73.89277688327176 40.74913125254681),Strada,4123062,-73.8927768833,40.7491312525,Active
POINT (-73.89475296199997 40.75067660021165),Strada,4123063,-73.894752962,40.7506766002,Active
POINT (-73.8930783766443 40.74887949267334),Strada,4123075,-73.8930783766,40.7488794927,Active
POINT (-73.89108289379847 40.747244043145244),Strada,4123073,-73.8910828938,40.7472440431,Active
POINT (-73.88811316081521 40.74953326673957),Strada,4123050,-73.8881131608,40.7495332667,Active
POINT (-73.88905343622997 40.74946136939314),Strada,4123053,-73.8890534362,40.7494613694,Active
POINT (-73.88582003095131 40.7496420912272),Strada,4123033,-73.885820031,40.7496420912,Active
POINT (-73.88720365583669 40.74974426081166),Strada,4123038,-73.8872036558,40.7497442608,Active
POINT (-73.88667192058834 40.74944586023571),Strada,4123041,-73.8866719206,40.7494458602,Active
POINT (-73.95231034584754 40.7769265814092),Strada,1264942,-73.9523103458,40.7769265814,Active
POINT (-73.95283463937659 40.7762070453082),Strada,1264943,-73.9528346394,40.7762070453,Active
POINT (-73.97586893658698 40.743797395805764),Strada,1043052,-73.9758689366,40.7437973958,Active
POINT (-73.98379479985783 40.74719271459633),Strada,1443213,-73.9837947999,40.7471927146,Active
POINT (-73.91895425121416 40.86489757246984),Strada,1238222,-73.9189542512,40.8648975725,Active
POINT (-73.9803710624733 40.748686782857284),Strada,1443812,-73.9803710625,40.7486867829,Active
POINT (-73.99037110271259 40.72822834826975),Strada,1043133,-73.9903711027,40.7282283483,Active
POINT (-73.95798391856036 40.781848881434264),Strada,1273015,-73.9579839186,40.7818488814,Active
POINT (-73.9521212383391 40.77758469916225),Strada,1264940,-73.9521212383,40.7775846992,Active
POINT (-73.95261732533184 40.776874266381675),Strada,1264941,-73.9526173253,40.7768742664,Active
POINT (-73.86247865782381 40.73385620830143),Strada,4173123,-73.8624786578,40.7338562083,Active
POINT (-73.94962268468798 40.80868005081536),Strada,1503032,-73.9496226847,40.8086800508,Active
POINT (-73.98438479831405 40.76396723685641),Strada,1433812,-73.9843847983,40.7639672369,Inactive
POINT (-73.99082682820014 40.73999227605328),Strada,1453286,-73.9908268282,40.7399922761,Active
POINT (-73.99102910048798 40.73889654567398),Strada,1453105,-73.9910291005,40.7388965457,Active
POINT (-73.98556254148784 40.77811885044876),Strada,1393019,-73.9855625415,40.7781188504,Active
POINT (-73.90941360912024 40.69981157189785),Strada,4093087,-73.9094136091,40.6998115719,Active
POINT (-73.91276160925075 40.70052221140564),Strada,4093106,-73.9127616093,40.7005222114,Inactive
POINT (-73.90601476828763 40.69972619132218),Strada,4093098,-73.9060147683,40.6997261913,Active
POINT (-73.82924728356069 40.75651372035099),Strada,4063117,-73.8292472836,40.7565137204,Inactive
POINT (-73.82898737980003 40.755177437288204),Strada,4063123,-73.8289873798,40.7551774373,Active
POINT (-73.82781384959722 40.75393802313821),Strada,4063126,-73.8278138496,40.7539380231,Inactive
POINT (-73.82759930589623 40.75397020784993),Strada,4063132,-73.8275993059,40.7539702079,Active
POINT (-73.82793232767936 40.75480539215178),Strada,4063133,-73.8279323277,40.7548053922,Active
POINT (-73.95188722748709 40.79120729015584),Strada,1348103,-73.9518872275,40.7912072902,Active
POINT (-73.98374406909247 40.775914296375994),Strada,1393030,-73.9837440691,40.7759142964,Active
POINT (-73.98236965473026 40.73942087006124),Strada,1443810,-73.9823696547,40.7394208701,Active
POINT (-73.97493716427422 40.75835520232781),Strada,1433206,-73.9749371643,40.7583552023,Active
POINT (-73.97606285712759 40.75892323167036),Strada,1433208,-73.9760628571,40.7589232317,Active
POINT (-73.9749934376794 40.75673999490981),Strada,1433339,-73.9749934377,40.7567399949,Active
POINT (-73.98242549298665 40.76079025078974),Strada,1433382,-73.982425493,40.7607902508,Active
POINT (-73.9064000352411 40.70029680440812),Strada,4093036,-73.9064000352,40.7002968044,Active
POINT (-73.91447947304623 40.76463303457753),Strada,4073036,-73.914479473,40.7646330346,Active
POINT (-73.91583521084715 40.76297191134148),Strada,4073039,-73.9158352108,40.7629719113,Inactive
POINT (-73.90556917661247 40.69981370312587),Strada,4093039,-73.9055691766,40.6998137031,Active
POINT (-73.84883013668198 40.72237057495335),Strada,4053038,-73.8488301367,40.722370575,Active
POINT (-73.90394534453601 40.70007373229587),Strada,4093044,-73.9039453445,40.7000737323,Active
POINT (-73.81514729788762 40.73061477360338),Strada,4513044,-73.8151472979,40.7306147736,Active
POINT (-73.95501926551925 40.70747854057038),Strada,3283072,-73.9550192655,40.7074785406,Active
POINT (-73.91237613506878 40.70030993434913),Strada,3303047,-73.9123761351,40.7003099343,Active
